,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,field,value
10,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,entitydata_measurementunit,Land Cover
11,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,entitydescr_bio,"I am a land of grassy plains and sun so bright. I possess tropical savannahs that teem with life hues and melodies so grand, of evergreen trees and creatures scurrying in flight. My heat holds strong but my midday brings respite, my dry season comes warmer still, then rainy relief. My lakes of wildlife sustain wild beasts large and small."
12,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,entitydescr_descriptor,a hot and dry land
13,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,entitydescr_element,earth
14,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,entitydescr_id,earth_urban_landcover_nairobi
15,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,entitydescr_measurementdescr,The size of the land''s surface area
16,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,entitydescr_type,LAND
17,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,prompt_act0descr,ACT0: The size of the land's surface area is not yet known. The land introduces itself and describes its surroundings.\nLAND:
18,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,prompt_act1descr,ACT1: The land's ecosystem is slowly deteriorating but the flora and fauna of the land are adapting to these changes. The land gradually realises that it has not been forsaken. Whatever once swayed and breathed with her emerges again after a period of meditative and painful conversion. The force of adaptability seems to arise anew from every segment of its surface like an epiphany from the unknown. \nLAND:
19,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,prompt_act2descr,ACT2: The flora and fauna of the land is are slowly withering and dying and the ecosystem is becoming very unstable. The absence of companion-elements is now creating turbulent influences on the land that is no longer in complete command of itself. Unforeseen and unknown phenomena now regulate its rhythm and existence. It is a totally unfathomable universe and nothing seems to be cyclical anymore. \nLAND:
20,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,prompt_act3descr,ACT3: The land is losing dramatically high levels of flora and fauna which is triggering unforeseen side effects in surrounding regions and destroying the ecosystem. The land is confronted with a grave sense of responsibility towards anything it penetrates with its presence. Everything it touches aches and cries for the loss of vital spirit. It seems there is only stillness left.  \nLAND:
21,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,prompt_intro,"The following play reveals the inner monologue of a hot and dry area of land. It is divided into several acts. Throughout these acts, the land describes its inner and outer transformation:\n\nThe first act starts like this:\n\n"
22,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,prompt_searchkey,land_temp
23,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,,storygenerations_aagen_id,earth_urban_landcover_nairobi
24,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,,storygenerations_act1gen,"I am a land of beauty. My flora and their colors sprung back. Life came back to me after a prolonged stasis. My flora gave off their colors in a spectacular show. They came back in a variety of colors. As the flora came back, it made me more beautiful. The redwoods flourished. It was a dazzling sight. The redwoods caused the pines to take their essence. The redwoods caused the pines to look lifeless. The redwoods caused the other flora to flourish. The redwoods made the other flora look lively. My flora gave me a new breath of life. My flora made me feel more lively. The flora made me look more colorful. The flora caused me to change my appearance. The flora made my appearance more vibrant. The flora made the trees look more alive. My flora made everything around me look more alive. My flora had a life of their own. The flora gave me a new life. The flora caused me to grow older. The flora caused me to get a new lease on life. The flora made me look more alive. My flora used their colors to make me look beautiful. The show that my flora put on was an awesome sight. The show was a spectacular sight. It was a spectacular sight. The show was the most amazing sight that I have seen. My flora made me look spectacular. My flora made me look more vibrant. The flora was the cause of my new look."
25,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,,storygenerations_act2gen,"A hollow wind from the west rides me with force, swaying my old redwoods. A face wind sometimes reminds me of their basking moments, but it sweeps turbulently over a coarse land base elapsing as bare skull-rock and bitter scrub. \n\n"
26,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,,storygenerations_act3gen,"A parched wind from the south paces me some days, drumming its idle beat upon my stubborn trees. Sometimes it falls in throngs of rain, but on most other days the thirsty land does not acquit that many offerings. It is a furrowed grave site with cocoons and hungry wormes woven here and there – plants growing out of disuse as grassless seeds dreaming periwinkle hues. \n"
27,,,,,,,,,,,,,storygenerations_act1gen_0,"I am a land of beauty. My flora and their colors sprung back. Life came back to me after a prolonged stasis. My flora gave off their colors in a spectacular show. They came back in a variety of colors. As the flora came back, it made me more beautiful. The redwoods flourished. It was a dazzling sight. The redwoods caused the pines to take their essence. The redwoods caused the pines to look lifeless. The redwoods caused the other flora to flourish. The redwoods made the other flora look lively. My flora gave me a new breath of life. My flora made me feel more lively. The flora made me look more colorful. The flora caused me to change my appearance. The flora made my appearance more vibrant. The flora made the trees look more alive. My flora made everything around me look more alive. My flora had a life of their own. The flora gave me a new life. The flora caused me to grow older. The flora caused me to get a new lease on life. The flora made me look more alive. My flora used their colors to make me look beautiful. The show that my flora put on was an awesome sight. The show was a spectacular sight. It was a spectacular sight. The show was the most amazing sight that I have seen. My flora made me look spectacular. My flora made me look more vibrant. The flora was the cause of my new look."
28,,,,,,,,,,,,,storygenerations_act2gen_0,"A hollow wind from the west rides me with force, swaying my old redwoods. A face wind sometimes reminds me of their basking moments, but it sweeps turbulently over a coarse land base elapsing as bare skull-rock and bitter scrub. 

"
29,,,,,,,,,,,,,storygenerations_act3gen_0,"A parched wind from the south paces me some days, drumming its idle beat upon my stubborn trees. Sometimes it falls in throngs of rain, but on most other days the thirsty land does not acquit that many offerings. It is a furrowed grave site with cocoons and hungry wormes woven here and there – plants growing out of disuse as grassless seeds dreaming periwinkle hues. 
"
